province,cases,deaths,recoveries,date
Zabul,2.0,0.0,0.0,2020-03-22
Balkh,2.0,1.0,0.0,2020-03-22
Badghis,1.0,0.0,0.0,2020-03-22
Dykundi,1.0,0.0,0.0,2020-03-22
Farah,2.0,0.0,0.0,2020-03-22
Ghazni,1.0,0.0,0.0,2020-03-22
Samangan,3.0,0.0,0.0,2020-03-22
Hirat,22.0,0.0,1.0,2020-03-22
Kabul,2.0,0.0,0.0,2020-03-22
Kandahar,1.0,0.0,0.0,2020-03-22
Kapisa,1.0,0.0,0.0,2020-03-22
Logar,1.0,0.0,0.0,2020-03-22
Ghor,1.0,0.0,0.0,2020-03-22
Balkh,2.0,1.0,0.0,2020-03-23
Badghis,1.0,0.0,0.0,2020-03-23
Dykundi,1.0,0.0,0.0,2020-03-23
Farah,2.0,0.0,0.0,2020-03-23
Ghazni,1.0,0.0,0.0,2020-03-23
Ghor,1.0,0.0,0.0,2020-03-23
Kabul,2.0,0.0,0.0,2020-03-23
Kandahar,1.0,0.0,0.0,2020-03-23
Kapisa,1.0,0.0,0.0,2020-03-23
Logar,2.0,0.0,0.0,2020-03-23
Samangan,4.0,0.0,0.0,2020-03-23
Zabul,2.0,0.0,0.0,2020-03-23
Hirat,22.0,0.0,1.0,2020-03-23
Farah,2.0,0.0,0.0,2020-03-24
Balkh,2.0,1.0,0.0,2020-03-24
Hirat,54.0,1.0,1.0,2020-03-24
Badghis,1.0,0.0,0.0,2020-03-24
Dykundi,1.0,0.0,0.0,2020-03-24
Ghazni,1.0,0.0,0.0,2020-03-24
Zabul,2.0,0.0,0.0,2020-03-24
Kabul,2.0,0.0,0.0,2020-03-24
Kandahar,1.0,0.0,0.0,2020-03-24
Kapisa,1.0,0.0,0.0,2020-03-24
Logar,2.0,0.0,0.0,2020-03-24
Samangan,4.0,0.0,0.0,2020-03-24
Ghor,1.0,0.0,0.0,2020-03-24
Farah,2.0,0.0,0.0,2020-03-25
Hirat,61.0,3.0,1.0,2020-03-25
Balkh,2.0,1.0,0.0,2020-03-25
Badghis,1.0,0.0,0.0,2020-03-25
Dykundi,1.0,0.0,0.0,2020-03-25
Ghazni,1.0,0.0,0.0,2020-03-25
Nimroz,3.0,0.0,0.0,2020-03-25
Kabul,7.0,0.0,0.0,2020-03-25
Kandahar,1.0,0.0,0.0,2020-03-25
Kapisa,1.0,0.0,0.0,2020-03-25
Logar,3.0,0.0,0.0,2020-03-25
Zabul,2.0,0.0,0.0,2020-03-25
Samangan,4.0,0.0,0.0,2020-03-25
Ghor,1.0,0.0,0.0,2020-03-25
Hirat,72.0,3.0,1.0,2020-03-27
Balkh,2.0,1.0,0.0,2020-03-27
Badghis,1.0,0.0,0.0,2020-03-27
Dykundi,1.0,0.0,0.0,2020-03-27
Farah,5.0,0.0,0.0,2020-03-27
Ghor,2.0,0.0,0.0,2020-03-27
Ghazni,1.0,0.0,0.0,2020-03-27
Kandahar,1.0,0.0,0.0,2020-03-27
Kapisa,1.0,0.0,0.0,2020-03-27
Logar,3.0,0.0,0.0,2020-03-27
Nimroz,3.0,0.0,0.0,2020-03-27
Samangan,4.0,0.0,0.0,2020-03-27
Zabul,2.0,0.0,0.0,2020-03-27
Kabul,7.0,0.0,0.0,2020-03-27
Ghazni,2.0,0.0,0.0,2020-03-31
Hirat,143.0,3.0,1.0,2020-03-31
Balkh,3.0,1.0,0.0,2020-03-31
Badakhshan,1.0,0.0,0.0,2020-03-31
Badghis,1.0,0.0,0.0,2020-03-31
Dykundi,2.0,0.0,0.0,2020-03-31
Farah,6.0,0.0,0.0,2020-03-31
Ghor,2.0,0.0,0.0,2020-03-31
Baghlan,1.0,0.0,0.0,2020-03-31
Kandahar,3.0,0.0,0.0,2020-03-31
Sar-E Pol,1.0,0.0,0.0,2020-03-31
Samangan,4.0,0.0,0.0,2020-03-31
Paktya,1.0,0.0,0.0,2020-03-31
Nimroz,5.0,0.0,0.0,2020-03-31
Kabul,16.0,0.0,0.0,2020-03-31
Nangarhar,1.0,0.0,0.0,2020-03-31
Logar,3.0,0.0,0.0,2020-03-31
Kapisa,1.0,0.0,0.0,2020-03-31
Zabul,2.0,0.0,0.0,2020-03-31
Ghor,2.0,0.0,0.0,2020-04-01
Balkh,3.0,1.0,0.0,2020-04-01
Badakhshan,1.0,0.0,0.0,2020-04-01
Badghis,1.0,0.0,0.0,2020-04-01
Baghlan,1.0,0.0,0.0,2020-04-01
Dykundi,3.0,0.0,0.0,2020-04-01
Farah,6.0,0.0,0.0,2020-04-01
Ghazni,2.0,0.0,0.0,2020-04-01
Hirat,184.0,4.0,1.0,2020-04-01
Kabul,23.0,0.0,0.0,2020-04-01
Kapisa,1.0,0.0,0.0,2020-04-01
Logar,3.0,0.0,0.0,2020-04-01
Nangarhar,1.0,0.0,0.0,2020-04-01
Nimroz,5.0,0.0,0.0,2020-04-01
Paktya,1.0,0.0,0.0,2020-04-01
Samangan,4.0,0.0,0.0,2020-04-01
Sar-E Pol,1.0,0.0,0.0,2020-04-01
Zabul,2.0,0.0,0.0,2020-04-01
Kandahar,3.0,0.0,0.0,2020-04-01
Farah,6.0,0.0,0.0,2020-04-03
Dykundi,3.0,0.0,0.0,2020-04-03
Baghlan,1.0,0.0,0.0,2020-04-03
Hirat,204.0,4.0,1.0,2020-04-03
Badakhshan,1.0,0.0,0.0,2020-04-03
Balkh,3.0,1.0,0.0,2020-04-03
Badghis,1.0,0.0,0.0,2020-04-03
Ghor,3.0,0.0,0.0,2020-04-03
Ghazni,2.0,0.0,0.0,2020-04-03
Kandahar,3.0,0.0,0.0,2020-04-03
Zabul,2.0,0.0,0.0,2020-04-03
Sar-E Pol,1.0,0.0,0.0,2020-04-03
Samangan,4.0,0.0,0.0,2020-04-03
Paktya,1.0,0.0,0.0,2020-04-03
Kabul,32.0,0.0,0.0,2020-04-03
Nangarhar,2.0,0.0,0.0,2020-04-03
Logar,3.0,0.0,0.0,2020-04-03
Kapisa,1.0,0.0,0.0,2020-04-03
Nimroz,6.0,0.0,0.0,2020-04-03
Ghazni,3.0,0.0,0.0,2020-04-04
