Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
#adm1+name,#affected+infected+cases,#affected+infected+deaths,#affected+infected+recoveries,#affected+infected+active,,#date
Badakhshan,"1,343",2,"1,391",,,2024-01-12
Badghis,124,,914,,,2024-01-12
Baghlan,840,,"1,154",,,2024-01-12
Balkh,707,,767,,,2024-01-12
Bamyan,"2,275",,"2,457",,,2024-01-12
Dykundi,468,,524,,,2024-01-12
Farah,103,,"1,182",,,2024-01-12
Faryab,461,,796,,,2024-01-12
Ghazni,"1,058",1,120,,,2024-01-12
Ghor,281,,479,,,2024-01-12
Helmand,465,2,369,,,2024-01-12
Hirat,"1,882",25,"2,350",,,2024-01-12
Jawzjan,286,,,,,2024-01-12
Kabul,"1,152",56,15,,,2024-01-12
Kandahar,633,,662,,,2024-01-12
Kapisa,450,1,"1,275",,,2024-01-12
Khost,97,,142,,,2024-01-12
Kunar,130,6,301,,,2024-01-12
Kunduz,718,7,787,,,2024-01-12
Laghman,424,2,472,,,2024-01-12
Logar,386,,981,,,2024-01-12
Nangarhar,"1,987",16,"2,429",,,2024-01-12
Nimroz,511,1,531,,,2024-01-12
Nooristan,413,1,20,,,2024-01-12
Paktika,432,,36,,,2024-01-12
Paktya,413,,,,,2024-01-12
Panjsher,295,,408,,,2024-01-12
Parwan,787,2,,,,2024-01-12
Samangan,335,,,,,2024-01-12
Sar-e-Pul,323,,555,,,2024-01-12
Takhar,845,1,926,,,2024-01-12
Urozgan,463,,446,,,2024-01-12
Wardak,503,,561,,,2024-01-12
Zabul,126,2,102,,,2024-01-12
Badakhshan,"6,259",89,"5,992",,,2023-11-09
Badghis,"2,449",32,"2,726",,,2023-11-09
Baghlan,"5,793",99,"5,737",,,2023-11-09
Balkh,"9,051",583,"8,585",,,2023-11-09
Bamyan,"6,647",52,"6,570",,,2023-11-09
Dykundi,"4,021",68,"4,269",,,2023-11-09
Farah,"3,151",169,"2,894",,,2023-11-09
Faryab,"2,726",145,"2,545",,,2023-11-09
Ghazni,"6,738",164,"4,742",,,2023-11-09
Ghor,"4,282",60,"3,884",,,2023-11-09
Helmand,"4,602",168,"4,087",,,2023-11-09
Hirat,"21,813",795,"21,039",,,2023-11-09
Jawzjan,"2,207",52,"2,018",,,2023-11-09
Kabul,"33,013","2,436","31,948",,,2023-11-09
Kandahar,"11,732",258,"11,686",,,2023-11-09
Kapisa,"5,434",90,"5,393",,,2023-11-09
Khost,"2,199",266,"1,877",,,2023-11-09
Kunar,"3,231",112,"3,341",,,2023-11-09
Kunduz,"6,777",234,"6,505",,,2023-11-09
Laghman,"3,858",194,"4,307",,,2023-11-09
Logar,"4,175",96,"4,203",,,2023-11-09
Nangarhar,"18,422",553,"16,585",,,2023-11-09
Nimroz,"3,981",108,"3,802",,,2023-11-09
Nooristan,"1,079",9,824,,,2023-11-09
Paktika,"2,376",54,"1,741",,,2023-11-09
Paktya,"4,318",209,"3,663",,,2023-11-09
Panjsher,"4,170",50,"3,952",,,2023-11-09
Parwan,"6,096",53,"4,841",,,2023-11-09
Samangan,"2,170",73,"1,734",,,2023-11-09
Sar-e-Pul,"1,699",34,"1,733",,,2023-11-09
Takhar,"7,580",234,"7,275",,,2023-11-09
Urozgan,"1,698",20,"1,156",,,2023-11-09
Wardak,"7,163",218,"6,921",,,2023-11-09
Zabul,"3,493",82,"2,462",,,2023-11-09
Badakhshan,"6,224",89,"5,943",,,2023-09-29
Badghis,"2,438",32,"2,637",,,2023-09-29
Baghlan,"5,782",99,"5,584",,,2023-09-29
Balkh,"9,008",583,"8,585",,,2023-09-29
Bamyan,"6,512",52,"6,452",,,2023-09-29
Dykundi,"3,992",68,"4,269",,,2023-09-29
Farah,"3,151",169,"2,894",,,2023-09-29
Faryab,"2,694",145,"2,527",,,2023-09-29
Ghazni,"6,632",164,"4,742",,,2023-09-29
Ghor,"4,249",60,"3,810",,,2023-09-29
Helmand,"4,530",168,"4,087",,,2023-09-29
Hirat,"21,723",794,"21,007",,,2023-09-29
Jawzjan,"2,191",52,"2,018",,,2023-09-29
Kabul,"32,921","2,430","31,948",,,2023-09-29
Kandahar,"11,658",258,"11,658",,,2023-09-29
Kapisa,"5,360",90,"5,298",,,2023-09-29
Khost,"2,196",266,"1,852",,,2023-09-29
Kunar,"3,230",112,"3,314",,,2023-09-29
Kunduz,"6,740",233,"6,445",,,2023-09-29
Laghman,"3,837",194,"4,303",,,2023-09-29
Logar,"4,138",96,"4,162",,,2023-09-29
Nangarhar,"18,164",553,"16,585",,,2023-09-29
Nimroz,"3,931",108,"3,731",,,2023-09-29
Nooristan,"1,024",9,824,,,2023-09-29
Paktika,"2,297",54,"1,741",,,2023-09-29
Paktya,"4,276",209,"3,663",,,2023-09-29
Panjsher,"4,121",50,"3,952",,,2023-09-29
Parwan,"6,054",53,"4,841",,,2023-09-29
Samangan,"2,168",73,"1,734",,,2023-09-29
Sar-e-Pul,"1,681",34,"1,723",,,2023-09-29
Takhar,"7,549",234,"7,260",,,2023-09-29
Urozgan,"1,620",20,"1,066",,,2023-09-29
Wardak,"7,103",218,"6,884",,,2023-09-29
Zabul,"3,476",82,"2,461",,,2023-09-29
Badakhshan,"6,203",89,"5,927",,,2023-09-13
Badghis,"2,432",32,"2,591",,,2023-09-13
Baghlan,"5,778",99,"5,464",,,2023-09-13
Balkh,"9,001",583,"8,575",,,2023-09-13
Bamyan,"6,468",52,"6,423",,,2023-09-13
Dykundi,"3,992",68,"4,269",,,2023-09-13
Farah,"3,151",169,"2,894",,,2023-09-13
Faryab,"2,688",145,"2,514",,,2023-09-13
Ghazni,"6,576",164,"4,742",,,2023-09-13
Ghor,"4,241",60,"3,784",,,2023-09-13
Helmand,"4,514",168,"4,087",,,2023-09-13
Hirat,"21,704",794,"20,992",,,2023-09-13
Jawzjan,"2,189",52,"2,018",,,2023-09-13
Kabul,"32,907","2,426","31,948",,,2023-09-13
Kandahar,"11,655",258,"11,658",,,2023-09-13
Kapisa,"5,360",90,"5,298",,,2023-09-13
Khost,"2,196",266,"1,851",,,2023-09-13
Kunar,"3,230",112,"3,303",,,2023-09-13
Kunduz,"6,712",233,"6,400",,,2023-09-13
Laghman,"3,835",194,"4,303",,,2023-09-13
Logar,"4,121",96,"4,140",,,2023-09-13
Nangarhar,"18,130",553,"16,585",,,2023-09-13
Nimroz,"3,886",108,"3,701",,,2023-09-13
Nooristan,"1,020",9,824,,,2023-09-13
Paktika,"2,271",54,"1,741",,,2023-09-13
Paktya,"4,276",209,"3,663",,,2023-09-13
Panjsher,"4,121",50,"3,952",,,2023-09-13
Parwan,"6,029",53,"4,841",,,2023-09-13
Samangan,"2,166",73,"1,734",,,2023-09-13
Sar-e-Pul,"1,672",34,"1,692",,,2023-09-13
Takhar,"7,542",234,"7,257",,,2023-09-13
Urozgan,"1,586",20,"1,056",,,2023-09-13
Wardak,"7,102",218,"6,877",,,2023-09-13
Zabul,"3,458",82,"2,410",,,2023-09-13
Badakhshan,"6,193",89,"5,885",,,2023-09-06
Badghis,"2,429",32,"2,560",,,2023-09-06
Baghlan,"5,778",99,"5,401",,,2023-09-06
Balkh,"8,997",583,"8,575",,,2023-09-06
Bamyan,"6,450",52,"6,399",,,2023-09-06
Dykundi,"3,992",68,"4,269",,,2023-09-06
Farah,"3,151",169,"2,894",,,2023-09-06
Faryab,"2,684",145,"2,508",,,2023-09-06
Ghazni,"6,533",164,"4,742",,,2023-09-06
Ghor,"4,236",60,"3,779",,,2023-09-06
Helmand,"4,506",168,"4,060",,,2023-09-06
Hirat,"21,691",794,"20,971",,,2023-09-06
Jawzjan,"2,188",52,"2,018",,,2023-09-06
Kabul,"32,904","2,424","31,948",,,2023-09-06
Kandahar,"11,650",258,"11,636",,,2023-09-06
Kapisa,"5,360",90,"5,298",,,2023-09-06
Khost,"2,196",266,"1,849",,,2023-09-06
Kunar,"3,230",112,"3,303",,,2023-09-06
Kunduz,"6,699",233,"6,300",,,2023-09-06
Laghman,"3,831",194,"4,301",,,2023-09-06
Logar,"4,110",96,"4,129",,,2023-09-06
Nangarhar,"18,107",553,"16,585",,,2023-09-06
Nimroz,"3,874",108,"3,693",,,2023-09-06
Nooristan,"1,016",9,824,,,2023-09-06
Paktika,"2,267",54,"1,741",,,2023-09-06
Paktya,"4,274",209,"3,663",,,2023-09-06
Panjsher,"4,121",50,"3,952",,,2023-09-06
Parwan,"6,022",53,"4,841",,,2023-09-06
Samangan,"2,164",73,"1,734",,,2023-09-06
Sar-e-Pul,"1,669",34,"1,692",,,2023-09-06
Takhar,"7,536",234,"7,241",,,2023-09-06
Urozgan,"1,582",20,"1,049",,,2023-09-06
Wardak,"7,097",218,"6,871",,,2023-09-06
Zabul,"3,467",82,"2,410",,,2023-09-06
Badakhshan,"6,189",89,"5,853",,,2023-08-30
Badghis,"2,429",32,"2,536",,,2023-08-30
Baghlan,"5,773",99,"5,363",,,2023-08-30
Balkh,"8,996",583,"8,575",,,2023-08-30
Bamyan,"6,443",52,"6,378",,,2023-08-30
Dykundi,"3,992",68,"4,269",,,2023-08-30
Farah,"3,151",169,"2,894",,,2023-08-30
Faryab,"2,677",145,"2,502",,,2023-08-30
Ghazni,"6,511",164,"4,742",,,2023-08-30
Ghor,"4,234",60,"3,775",,,2023-08-30
Helmand,"4,506",168,"4,030",,,2023-08-30
Hirat,"21,673",794,"20,966",,,2023-08-30
Jawzjan,"2,186",52,"2,018",,,2023-08-30
Kabul,"32,903","2,424","31,948",,,2023-08-30
Kandahar,"11,650",258,"11,628",,,2023-08-30
Kapisa,"5,359",90,"5,291",,,2023-08-30
Khost,"2,195",266,"1,849",,,2023-08-30
Kunar,"3,230",112,"3,303",,,2023-08-30
Kunduz,"6,693",233,"6,300",,,2023-08-30
Laghman,"3,828",194,"4,291",,,2023-08-30
Logar,"4,107",96,"4,126",,,2023-08-30
Nangarhar,"18,086",553,"16,585",,,2023-08-30
Nimroz,"3,863",108,"3,686",,,2023-08-30
Nooristan,"1,014",9,824,,,2023-08-30
Paktika,"2,261",54,"1,741",,,2023-08-30
Paktya,"4,274",209,"3,663",,,2023-08-30
Panjsher,"4,121",50,"3,952",,,2023-08-30
Parwan,"6,015",53,"4,841",,,2023-08-30
Samangan,"2,154",73,"1,734",,,2023-08-30
Sar-e-Pul,"1,663",34,"1,676",,,2023-08-30
Takhar,"7,526",234,"7,241",,,2023-08-30
Urozgan,"1,559",20,"1,049",,,2023-08-30
Wardak,"7,095",218,"6,871",,,2023-08-30
Zabul,"3,458",82,"2,410",,,2023-08-30
